"timestep","pft","num_agents"
288,"cyano",5.05
289,"cyano",5
290,"cyano",5.15
291,"cyano",4.95
292,"cyano",5
293,"cyano",5.15
294,"cyano",5.1
295,"cyano",5.1
296,"cyano",5.1
297,"cyano",5.05
298,"cyano",5.05
299,"cyano",5.2
300,"cyano",5.15
301,"cyano",5
302,"cyano",4.9
303,"cyano",4.85
304,"cyano",4.9
305,"cyano",4.9
306,"cyano",4.85
307,"cyano",4.9
308,"cyano",4.85
309,"cyano",4.85
310,"cyano",4.9
311,"cyano",4.9
312,"cyano",4.9
313,"cyano",4.8
314,"cyano",4.75
315,"cyano",4.6
316,"cyano",4.5
317,"cyano",4.6
318,"cyano",4.5
319,"cyano",4.5
320,"cyano",4.7
321,"cyano",4.7
322,"cyano",4.65
323,"cyano",4.65
324,"cyano",4.6
325,"cyano",4.65
326,"cyano",4.6
327,"cyano",4.55
328,"cyano",4.45
329,"cyano",4.3
330,"cyano",4.25
331,"cyano",4.25
332,"cyano",4.25
333,"cyano",4.25
334,"cyano",4.2
335,"cyano",4.4
336,"cyano",4.25
337,"cyano",4.25
338,"cyano",4.2
339,"cyano",4.15
340,"cyano",4.2
341,"cyano",4.2
342,"cyano",4.15
343,"cyano",4.1
344,"cyano",3.9
345,"cyano",3.85
346,"cyano",3.9
347,"cyano",3.8
348,"cyano",3.85
349,"cyano",3.9
350,"cyano",4
351,"cyano",3.95
352,"cyano",3.95
353,"cyano",3.95
354,"cyano",3.9
355,"cyano",4
356,"cyano",4
357,"cyano",3.95
358,"cyano",3.95
359,"cyano",3.8
360,"cyano",3.7
361,"cyano",3.7
362,"cyano",3.5
363,"cyano",3.45
364,"cyano",3.4
365,"cyano",3.5
366,"cyano",3.55
367,"cyano",3.5
368,"cyano",3.55
369,"cyano",3.65
370,"cyano",3.65
371,"cyano",3.7
372,"cyano",3.8
373,"cyano",3.8
374,"cyano",3.8
375,"cyano",3.75
